Node,Average Priority,CPU Percentage Variance,Storage Percentage Variance,Score
Taiyuan,2.3333333333333335,0.8810484919230598,0.771134921943299,1.0376783091734259
Nandhang,2.0,0.8503567036203844,0.8332730266452175,0.8949110809203195
Kunming,2.0,0.9609123302175527,0.7361438827457494,0.8908831361110093
Yinchuan,2.0,0.8121196637714887,0.8966534265440891,0.8873680729053267
Chengdu,2.0,0.8744675273324272,0.8748329696238556,0.8752098509131152
Chongqing,2.0,0.9127994370449225,0.883426021007322,0.8611323625843267
International Link 2,2.0,0.8871724460277535,0.9262268914454131,0.85598019875805
Xiamen,2.0,0.9425179967851088,0.9293300388333848,0.8384455893144519
Wuhan,1.5,0.8667169946608004,0.5363927731551624,0.7790670696552112
Xining,1.5,0.6083144685313884,0.8644894897239991,0.7581588125233838
Hefei,1.6666666666666667,0.801161230434005,0.9417789892945366,0.7437846007481043
Tianjin,1.6666666666666667,0.8235033409483207,0.9269313125156635,0.7415362706274714
Fuzhou,1.6666666666666667,0.8688176893182777,0.9712412390963611,0.7146489881422751
Changsha,1.5,0.7585171036470868,0.8634530137115664,0.7134089647924041
Jinan,1.5,0.9237868335641749,0.7060116979457036,0.7110604405470364
Harbin,1.6666666666666667,0.8677296534417748,0.9886489227337822,0.7097530938139996
Shilazhuang,1.5,0.8673383200895258,0.7732308793145476,0.707829240178778
Beijing,1.5,0.8042393097466032,0.9332578712733843,0.6787508456940038
